"Designator","Designation","Footprint","Quantity","DNP","Exclude from BOM"
"C1,C2,C5,C6,C26,C27","MKP1848S61010JY5B","InverterCom:MKP1848S61010JY5B","6","",""
"C3,C4,C7,C8,C12,C13,C21,C22,C31,C32,C33,C34","B58031U9254M062","B58031U9254M062","12","",""
"C9,C10,C11,C14,C15,C16,C17,C18,C19,C20,C23,C24,C25,C28,C29,C30,C35,C36","VY1222M47Y5UQ6TV0","InverterCom:VY1222M47Y5UQ6TV0","18","",""
"J15","524265-E","524265E","1","",""
