Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
1,HW-C3-BB-DCLBB-CNPL-A,HW-C3-DCLBB-CNPL-A,,HW-C3-DCLBB-CNPL-A,sendcutsend,HW-C3-DCLBB-CNPL-A
1,HW-C3-BB-DCLBB-N-A,HW-C3-DCLBB-N-A,,HW-C3-DCLBB-N-A,sendcutsend,HW-C3-DCLBB-N-A
1,HW-C3-BB-DCLBB-P-A,HW-C3-DCLBB-P-A,,HW-C3-DCLBB-P-A,sendcutsend,HW-C3-DCLBB-P-A
1,HW-C3-BB-DCLBB-SP-A,HW-C3-DCLBB-SP-A,,HW-C3-DCLBB-SP-A,sendcutsend,HW-C3-DCLBB-SP-A
1,HW-C3-BB-PHBB-PA-A,HW-C3-PHBB-PA-A,,HW-C3-PHBB-PA-A,sendcutsend,HW-C3-PHBB-PA-A
1,HW-C3-HW-HW-C3-FR-IGCSMP-A-A,HW-C3-FR-IGCSMP-A,,HW-C3-FR-IGCSMP-A,sendcutsend,HW-C3-FR-IGCSMP-A
1,HW-C3-HW-HW-C3-FR-TPENCL-A-A,HW-C3-FR-TPENCL-A,,HW-C3-FR-TPENCL-A,sendcutsend,HW-C3-FR-TPENCL-A
1,HW-C3-PLT-FR-BSP-A,HW-C3-FR-BSP-A,,HW-C3-FR-BSP-A,sendcutsend,HW-C3-FR-BSP-A
